NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,F1242,"0.27","7.36","2642.21","8387.9"
BE,F1242,"0.92","5.21","1355.86","3052.8"
BG,F1242,"10.25","52.72","5038.23","11037"
CY,F1242,"0","0","126.15","925.1"
CZ,F1242,"0.89","1.92","3524.38","7886.8"
DE,F1242,"6.03","33.89","16636.98","35737.6"
DK,F1242,"0.16","0.82","2625.64","4292.4"
EE,F1242,"0","0","985.41","4522.7"
EL,F1242,"17.03","86.88","5199.68","13204.9"
ES,F1242,"27.9","109.39","24253.86","50594.4"
FI,F1242,"0","0","2271.18","33844"
FR,F1242,"7.18","28.87","29010.89","63318.66"
HR,F1242,"0.86","1.06","1493.86","5659.4"
HU,F1242,"2.8","10.1","5210.49","9301.1"
IE,F1242,"0","0","4475.59","6979.7"
IT,F1242,"28.93","105.81","13034.85","30207.3"
LT,F1242,"0.02","0.01","2947.62","6528.6"
LU,F1242,"0","0","131.85","258.6"
LV,F1242,,,"1953.72","6457.3"
MT,F1242,"0","0","11.23","31.54"
NL,F1242,"0.54","8.15","1811.01","4154"
PL,F1242,"9.35","46.89","14572.84","31267.9"
PT,F1242,"6.27","18.43","3875.79","9222.6"
RO,F1242,"3.52","39.26","13348.99","23839.07"
SE,F1242,"0","0","3005","43857.4"
SI,F1242,"0.2","1.05","480.54","2027.3"
SK,F1242,"0.18","0.83","1902.42","4903.5"
