NUTS0_CODE,NUTS0_NAME,NUTS2_CODE,NUTS2_NAME,NUTS_LEVEL,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,PRC_UAA_AV,NUTS_AREA,PCR_NUTS_AV
AT,Austria,AT,Austria,NUTS0,V1000,1.54,66.52,2642.21,0.058,8387.9,0.02
BE,Belgium,BE,Belgium,NUTS0,V1000,10.21,271.22,1355.86,0.752,3052.8,0.332
BG,Bulgaria,BG,Bulgaria,NUTS0,V1000,1.83,42.23,5038.23,0.036,11037,0.018
CY,Cyprus,CY,Cyprus,NUTS0,V1000,0.17,5.11,126.15,0.132,925.1,0.02
CZ,Czechia,CZ,Czechia,NUTS0,V1000,1.61,51.69,3524.38,0.046,7886.8,0.02
DE,Germany (until 1990 former territory of the FRG),DE,Germany (until 1990 former territory of the FRG),NUTS0,V1000,19.08,842.29,16636.98,0.112,35737.6,0.052
DK,Denmark,DK,Denmark,NUTS0,V1000,2.16,48.67,2625.64,0.082,4292.4,0.05
EE,Estonia,EE,Estonia,NUTS0,V1000,0.35,14.17,985.41,0.036,4522.7,0.01
EL,Greece,EL,Greece,NUTS0,V1000,5.56,125.82,5199.68,0.106,13204.9,0.042
ES,Spain,ES,Spain,NUTS0,V1000,50.51,982.96,24253.86,0.206,50594.4,0.1
FI,Finland,FI,Finland,NUTS0,V1000,1.39,28.71,2271.18,0.062,33844,0
FR,France,FR,France,NUTS0,V1000,25.47,449.6,29010.89,0.0875,63318.66,0.04
HR,Croatia,HR,Croatia,NUTS0,V1000,1.85,37.82,1493.86,0.122,5659.4,0.032
HU,Hungary,HU,Hungary,NUTS0,V1000,3.27,69.75,5210.49,0.064,9301.1,0.038
IE,Ireland,IE,Ireland,NUTS0,V1000,1.73,35.39,4475.59,0.04,6979.7,0.024
IT,Italy,IT,Italy,NUTS0,V1000,38.6,800.95,13034.85,0.294,30207.3,0.126
LT,Lithuania,LT,Lithuania,NUTS0,V1000,2.07,50.6,2947.62,0.07,6528.6,0.03
LU,Luxembourg,LU,Luxembourg,NUTS0,V1000,0.02,0.71,131.85,0.018,258.6,0.008
LV,Latvia,LV,Latvia,NUTS0,V1000,0.68,20.64,1953.72,0.038,6457.3,0.01
MT,Malta,MT,Malta,NUTS0,V1000,0,0,11.23,0,31.54,0
NL,Netherlands,NL,Netherlands,NUTS0,V1000,11.14,311.6,1811.01,0.616,4154,0.268
PL,Poland,PL,Poland,NUTS0,V1000,35.49,1164.83,14572.84,0.246,31267.9,0.112
PT,Portugal,PT,Portugal,NUTS0,V1000,10.82,244.13,3875.79,0.278,9222.6,0.116
RO,Romania,RO,Romania,NUTS0,V1000,27.9,662.76,13348.99,0.208,23839.07,0.114
SE,Sweden,SE,Sweden,NUTS0,V1000,1.44,31.61,3005,0.048,43857.4,0
SI,Slovenia,SI,Slovenia,NUTS0,V1000,0.95,26.74,480.54,0.198,2027.3,0.048
SK,Slovakia,SK,Slovakia,NUTS0,V1000,0.47,14.38,1902.42,0.026,4903.5,0.01
